Player,Nation,Pos,Age,MP,Starts,Min,Gls,Ast,PK,CrdY,CrdR,xG,xAG,Team
Fran Garcia,es ESP,DF,25,nan,7,667.0,0.0,0.0,0.0,0.0,0.0,0.5,0.2,Real-Madrid
Lucas Vázquez,es ESP,DF,33,nan,7,623.0,1.0,1.0,0.0,2.0,0.0,0.2,0.8,Real-Madrid
Dani Carvajal,es ESP,DF,32,nan,7,609.0,1.0,0.0,0.0,1.0,0.0,1.3,0.2,Real-Madrid
Luka Modrić,hr CRO,MF,39,nan,5,649.0,0.0,2.0,0.0,3.0,0.0,0.3,3.3,Real-Madrid
Eduardo Camavinga,fr FRA,MF,22,nan,5,388.0,0.0,1.0,0.0,0.0,0.0,0.1,0.1,Real-Madrid
Arda Güler,tr TUR,"MF,FW",19,nan,4,389.0,0.0,1.0,0.0,1.0,0.0,1.3,1.4,Real-Madrid
Dani Ceballos,es ESP,MF,28,nan,4,316.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1,Real-Madrid
Brahim Díaz,ma MAR,"FW,MF",25,nan,3,344.0,1.0,2.0,0.0,0.0,0.0,1.1,1.8,Real-Madrid
Raúl Asencio,es ESP,DF,21,nan,3,331.0,0.0,1.0,0.0,0.0,0.0,0.0,0.4,Real-Madrid
Andriy Lunin,ua UKR,GK,25,nan,3,270.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9,Real-Madrid
Endrick,br BRA,FW,18,nan,0,69.0,1.0,0.0,0.0,1.0,0.0,0.6,0.0,Real-Madrid
Jesús Vallejo,es ESP,DF,27,nan,0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Real-Madrid
Diego Aguado,es ESP,DF,17,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,Real-Madrid
Lorenzo Aguado,es ESP,DF,22,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,Real-Madrid
Chema,es ESP,MF,19,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,Real-Madrid
Fran,es ESP,GK,19,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,Real-Madrid
Gonzalo García,es ESP,MF,20,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,Real-Madrid
David Jiménez,es ESP,DF,20,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,Real-Madrid
Sergio Mestre,es ESP,GK,19,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,Real-Madrid
